id,name,parent_area_id,description,boundary_id,valid_from,valid_until,area_type_id,created_on,created_by_user_id,updated_on,updated_by_user_id,boundary_status_id,retired,label,area_short_name,area_hq_id,area_code,establishment_date_approximated,mof_code,created_at,updated_at,deleted_at,ares_code
"392","Tanzania",,,,,,"1","2024-10-25 07:08:15.511+03",,,,,"f",,,,,"f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,
"3849","Arusha","392",,,,,"2","2024-10-25 07:08:15.557+03",,,,,"f",,,,"01000001","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000001"
"3850","Dar es Salaam","392",,,,,"2","2024-10-25 07:08:15.57+03",,,,,"f",,,,"01000002","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000002"
"3851","Dodoma","392",,,,,"2","2024-10-25 07:08:15.583+03",,,,,"f",,,,"01000003","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000003"
"3852","Geita","392",,,,,"2","2024-10-25 07:08:15.597+03",,,,,"f",,,,"01000004","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000004"
"3853","Iringa","392",,,,,"2","2024-10-25 07:08:15.61+03",,,,,"f",,,,"01000005","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000005"
"3854","Kagera","392",,,,,"2","2024-10-25 07:08:15.623+03",,,,,"f",,,,"01000006","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000006"
"3855","Katavi","392",,,,,"2","2024-10-25 07:08:15.636+03",,,,,"f",,,,"01000007","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000007"
"3856","Kigoma","392",,,,,"2","2024-10-25 07:08:15.649+03",,,,,"f",,,,"01000008","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000008"
"3857","Kilimanjaro","392",,,,,"2","2024-10-25 07:08:15.662+03",,,,,"f",,,,"01000009","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000009"
"3858","Lindi","392",,,,,"2","2024-10-25 07:08:15.676+03",,,,,"f",,,,"01000010","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000010"
"3859","Manyara","392",,,,,"2","2024-10-25 07:08:15.689+03",,,,,"f",,,,"01000011","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000011"
"3860","Mara","392",,,,,"2","2024-10-25 07:08:15.703+03",,,,,"f",,,,"01000012","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000012"
"3861","Mbeya","392",,,,,"2","2024-10-25 07:08:15.717+03",,,,,"f",,,,"01000013","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000013"
"3862","Morogoro","392",,,,,"2","2024-10-25 07:08:15.733+03",,,,,"f",,,,"01000014","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000014"
"3863","Mtwara","392",,,,,"2","2024-10-25 07:08:15.749+03",,,,,"f",,,,"01000015","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000015"
"3864","Mwanza","392",,,,,"2","2024-10-25 07:08:15.762+03",,,,,"f",,,,"01000016","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000016"
"3865","Njombe","392",,,,,"2","2024-10-25 07:08:15.776+03",,,,,"f",,,,"01000017","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000017"
"3866","Pwani","392",,,,,"2","2024-10-25 07:08:15.788+03",,,,,"f",,,,"01000018","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000018"
"3867","Rukwa","392",,,,,"2","2024-10-25 07:08:15.801+03",,,,,"f",,,,"01000019","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000019"
"3868","Ruvuma","392",,,,,"2","2024-10-25 07:08:15.814+03",,,,,"f",,,,"01000020","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000020"
"3869","Shinyanga","392",,,,,"2","2024-10-25 07:08:15.826+03",,,,,"f",,,,"01000021","f",,"2024-10-25 04:08:15","2024-10-25 04:08:15",,"01000021"
